,*Warn,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2008_state_gsms-Found,Server2008_state_gsms-Penalties,Server2008_state_gsms-Remaining,Server2008_state_gsms-Score,Server2008_state_gsms-Time,Server2008_state_gsms-Warn,State,StatePlace,TeamName,TeamNumber,Tier,Ubuntu14_state_sms-Found,Ubuntu14_state_sms-Penalties,Ubuntu14_state_sms-Remaining,Ubuntu14_state_sms-Score,Ubuntu14_state_sms-Time,Ubuntu14_state_sms-Warn,Windows10_state_sms-Found,Windows10_state_sms-Penalties,Windows10_state_sms-Remaining,Windows10_state_sms-Score,Windows10_state_sms-Time,Windows10_state_sms-Warn
393,,65.0,Middle School,393.0,04:37,3,7,0,31,14, 4:36,,SC,14.0,,10-4779,Middle School,9,0,25,23, 4:36,,9,0,29,28, 4:34,
394,T,65.0,Middle School,394.0,06:06,2,9,0,29,19, 1:50,,NV,8.0,,10-2542,Middle School,,,,,,,15,0,23,46, 4:15,
395,,64.0,Middle School,395.0,05:09,3,5,0,33,8, 5:05,,FL,11.0,,10-1597,Middle School,15,0,19,36, 5:05,,12,0,26,20, 5:08,
396,,64.0,Middle School,396.0,05:03,3,7,0,31,12, 5:01,,KS,6.0,,10-5112,Middle School,5,0,29,14, 5:01,,19,0,19,38, 5:02,
397,,63.0,Middle School,397.0,05:39,3,9,0,29,16, 5:29,,CA,82.0,,10-3271,Middle School,7,0,27,17, 5:38,,13,0,25,30, 5:35,
398,,63.0,Middle School,398.0,05:03,3,13,0,25,21, 5:03,,CA,83.0,,10-4374,Middle School,6,0,28,14, 4:59,,13,0,25,28, 4:59,
399,,63.0,Middle School,399.0,05:27,3,11,0,27,32, 5:26,,CA,84.0,,10-4570,Middle School,7,2,27,7, 5:24,,14,1,24,24, 5:20,
400,,63.0,Middle School,400.0,05:34,3,8,1,30,7, 5:34,,CA,85.0,,10-2853,Middle School,7,0,27,21, 5:33,,12,0,26,35, 5:33,
401,,63.0,Middle School,401.0,05:48,2,,,,,,,CA,86.0,,10-2238,Middle School,20,0,14,55, 4:57,,4,0,34,8, 0:49,
402,,62.0,Middle School,402.0,03:34,3,7,0,31,14, 3:13,,TX,47.0,,10-1665,Middle School,10,0,24,27, 3:34,,9,1,29,21, 3:14,
403,,62.0,Middle School,403.0,05:11,3,15,0,23,28, 1:12,,IL,5.0,,10-3776,Middle School,6,1,28,9, 1:21,,12,0,26,25, 2:10,
