,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2019_cpxiii_r1_hsms-**,Server2019_cpxiii_r1_hsms-Found,Server2019_cpxiii_r1_hsms-Penalties,Server2019_cpxiii_r1_hsms-Remaining,Server2019_cpxiii_r1_hsms-Score,Server2019_cpxiii_r1_hsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Windows10_cpxiii_r1_hsms-**,Windows10_cpxiii_r1_hsms-Found,Windows10_cpxiii_r1_hsms-Penalties,Windows10_cpxiii_r1_hsms-Remaining,Windows10_cpxiii_r1_hsms-Score,Windows10_cpxiii_r1_hsms-Time
138,138,,0,12.8,136,Middle School,138,04:58:57,2,,13,0,8,59, 4:55,TX,17,,13-0908,Middle School,148.8,,15,0,5,77, 4:58
139,139,,0,6.2,142,Middle School,139,05:32:55,2,,15,0,6,69, 4:06,MI,2,,13-0323,Middle School,148.2,,14,0,6,73, 1:10
140,140,T,0,0,148,Middle School,140,18:02:55,2,T,13,0,8,58,15:36,TX,18,,13-2319,Middle School,148,,18,0,2,90, 2:21
141,141,,0,3,145,Middle School,141,04:09:55,2,,15,0,6,68, 4:08,CT,1,,13-1116,Middle School,148,,15,0,5,77, 2:25
142,142,,0,0,148,Middle School,142,05:32:56,2,,15,0,6,76, 5:31,AL,8,,13-0852,Middle School,148,,14,0,6,72, 5:32
143,143,,0,0,148,Middle School,143,05:46:56,2,,16,0,5,74, 5:46,AL,9,,13-0133,Middle School,148,,15,1,5,74, 5:46
144,144,,0,8,140,Middle School,144,05:46:57,2,,14,0,7,64, 4:58,AL,10,,13-0037,Middle School,148,,15,0,5,76, 5:46
145,145,T,0,0,148,Middle School,145,28:14:01,2,T,17,0,4,79,26:44:00,HI,5,,13-0714,Middle School,148,,13,0,7,69, 3:50
146,146,,0,0,147,Middle School,146,04:55:56,2,,16,0,5,75, 4:51,IN,2,,13-0034,Middle School,147,,14,0,6,72, 4:55
147,147,,0,0,147,Middle School,147,05:25:56,2,,15,0,6,69, 5:25,SC,2,,13-5087,Middle School,147,,15,0,5,78, 5:25
148,148,,0,8,139,Middle School,148,05:51:57,2,,14,0,7,71, 5:27,UT,2,,13-4483,Middle School,147,,13,0,7,68, 5:51
149,149,,0,3.6,143,Middle School,149,05:44:56,2,,16,0,5,75, 4:07,OR,3,,13-1546,Middle School,146.6,,14,1,6,68, 5:44
150,150,M,0,2.4,144,Middle School,150,05:45:55,2,,13,0,8,54, 5:40,LA,6,,13-2264,Middle School,146.4,M,18,0,2,90, 5:45
151,151,T,0,4.2,142,Middle School,151,06:07:58,2,,11,0,10,51, 0:56,TX,19,,13-0708,Middle School,146.2,T,18,0,2,91, 6:07
152,152,,0,3,143,Middle School,152,05:55:56,2,,14,0,7,66, 5:54,NC,2,,13-1278,Middle School,146,,16,0,4,77, 5:55
153,153,T,0,0,146,Middle School,153,23:02:59,2,T,14,0,7,70, 6:17,JPN,1,,13-2507,Middle School,146,T,17,2,3,76,23:02
154,154,,0,5.4,140,Middle School,154,04:46:57,2,,15,0,6,71, 4:24,CA,44,,13-2646,Middle School,145.4,,13,0,7,69, 4:46
155,155,,0,0,145,Middle School,155,05:15:56,2,,13,0,8,55, 4:05,CA,45,,13-4154,Middle School,145,,18,0,2,90, 4:01
156,156,,0,0,145,Middle School,156,05:38:56,2,,14,0,7,59, 5:38,FL,5,,13-1094,Middle School,145,,17,0,3,86, 5:38
157,157,,0,0,144,Middle School,157,04:56:56,2,,15,0,6,70, 4:52,CA,46,,13-4393,Middle School,144,,14,0,6,74, 4:55
158,158,,0,0,144,Middle School,158,05:38:56,2,,12,0,9,58, 5:38,CA,47,,13-2936,Middle School,144,,17,0,3,86, 5:00
159,159,,0,4.2,139,Middle School,159,05:31:56,2,,15,0,6,69, 5:31,TX,20,,13-0801,Middle School,143.2,,13,0,7,70, 3:37
