,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2016_cpxii_sf_gsms-**,Server2016_cpxii_sf_gsms-Found,Server2016_cpxii_sf_gsms-Penalties,Server2016_cpxii_sf_gsms-Remaining,Server2016_cpxii_sf_gsms-Score,Server2016_cpxii_sf_gsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Ubuntu16_cpxii_sf_psms-**,Ubuntu16_cpxii_sf_psms-Found,Ubuntu16_cpxii_sf_psms-Penalties,Ubuntu16_cpxii_sf_psms-Remaining,Ubuntu16_cpxii_sf_psms-Score,Ubuntu16_cpxii_sf_psms-Time,Win10_cpxii_sf_gsms-**,Win10_cpxii_sf_gsms-Found,Win10_cpxii_sf_gsms-Penalties,Win10_cpxii_sf_gsms-Remaining,Win10_cpxii_sf_gsms-Score,Win10_cpxii_sf_gsms-Time
54,54,,0.00,6.75,129.0,Middle School,54.0,05:39:56,3,,14,0,16,45, 5:21,CA,28.0,,12-2486,Middle School,135.75,,18,0,18,49, 5:38,,11,0,25,35, 5:38
55,55,,0.00,24.05,111.0,Middle School,55.0,05:46:00,3,,10,0,20,33, 5:27,CA,29.0,,12-2046,Middle School,135.05,,16,0,20,47, 5:46,,12,0,24,31, 5:31
56,56,,0.00,8.75,125.0,Middle School,56.0,05:57:00,3,,14,0,16,43, 5:54,VA,4.0,,12-6482,Middle School,133.75,,18,0,18,45, 5:56,,11,0,25,37, 5:48
57,57,,0.00,17.05,116.0,Middle School,57.0,05:57:00,3,,12,0,18,45, 5:55,MO,4.0,,12-0619,Middle School,133.05,,8,1,28,25, 4:56,,21,0,15,46, 5:55
58,58,,0.00,12.84,120.0,Middle School,58.0,05:56:57,3,,12,0,18,35, 5:55,CAN,1.0,,12-0655,Middle School,132.84,,18,0,18,43, 5:49,,22,0,14,42, 5:48
59,59,,0.00,21.65,111.0,Middle School,59.0,05:49:57,3,,6,0,24,26, 5:40,CA,30.0,,12-0808,Middle School,132.65,,21,0,15,59, 5:39,,9,0,27,26, 5:49
60,60,,0.00,11.62,120.0,Middle School,60.0,05:55:56,3,,12,0,18,36, 5:55,NC,1.0,,12-2935,Middle School,131.62,,18,0,18,37, 5:51,,17,0,19,47, 5:55
61,61,,0.00,18.73,112.0,Middle School,61.0,05:34:55,3,,8,1,22,19, 5:34,MN,1.0,,12-3319,Middle School,130.73,,19,0,17,56, 5:33,,14,0,22,37, 5:29
62,62,,0.00,20.42,108.0,Middle School,62.0,05:49:56,3,,11,0,19,37, 5:43,CA,31.0,,12-2480,Middle School,128.42,,16,0,20,39, 5:42,,12,0,24,32, 5:41
63,63,,0.00,0.00,128.0,Middle School,63.0,05:14:02,3,,10,0,20,36, 5:06,RI,1.0,,12-1773,Middle School,128.00,,17,0,19,54, 5:03,,13,0,23,38, 5:03
64,64,,0.00,0.00,128.0,Middle School,64.0,05:54:56,3,,7,1,23,23, 5:49,CA,32.0,,12-3340,Middle School,128.00,,17,0,19,53, 5:49,,19,0,17,52, 5:54
65,65,,0.00,15.74,112.0,Middle School,65.0,05:51:56,3,,11,0,19,28, 5:51,TX,4.0,,12-1212,Middle School,127.74,,20,1,16,42, 5:51,,16,0,20,42, 4:51
66,66,,0.00,13.29,114.0,Middle School,66.0,05:19:00,3,,9,0,21,27, 5:00,GA,5.0,RMS,12-3743,Middle School,127.29,,16,0,20,42, 4:36,,16,0,20,45, 5:08
67,67,,0.00,6.25,121.0,Middle School,67.0,05:44:35,3,,10,0,20,36, 5:43,PA,3.0,,12-5819,Middle School,127.25,,13,0,23,42, 4:16,,14,0,22,43, 5:40
68,68,,0.00,22.02,105.0,Middle School,68.0,05:57:55,3,,12,0,18,34, 5:57,GA,6.0,,12-0873,Middle School,127.02,,14,0,22,31, 5:55,,12,0,24,40, 5:37
69,69,,0.00,14.36,112.0,Middle School,69.0,05:53:00,3,,14,0,16,44, 5:36,TX,5.0,,12-1185,Middle School,126.36,,14,0,22,36, 5:50,,12,0,24,32, 5:52
70,70,,0.00,21.87,103.0,Middle School,70.0,05:23:56,3,,9,0,21,32, 5:20,MD,4.0,,12-2731,Middle School,124.87,,18,0,18,39, 5:22,,10,0,26,32, 5:17
71,71,,0.00,17.59,107.0,Middle School,71.0,05:58:56,3,,10,0,20,36, 5:49,TX,6.0,,12-2741,Middle School,124.59,,20,0,16,59, 5:51,,5,0,31,12, 5:55
72,72,,0.00,14.53,110.0,Middle School,72.0,05:58:00,3,,12,0,18,36, 5:56,CA,33.0,,12-0353,Middle School,124.53,,16,0,20,41, 5:23,,16,0,20,33, 5:57
73,73,,0.00,26.13,98.0,Middle School,73.0,05:43:58,3,,12,0,18,41, 5:25,MO,5.0,,12-0620,Middle School,124.13,,2,0,34,4, 5:39,,21,0,15,53, 5:23
74,74,T,-3.00,8.50,117.0,Middle School,74.0,06:01:17,3,T,11,0,19,39, 6:00,CA,34.0,,12-3433,Middle School,122.50,,18,0,18,43, 5:59,,11,0,25,35, 5:59
75,75,,0.00,8.50,114.0,Middle School,75.0,05:38:55,3,,9,0,21,31, 5:38,WV,1.0,,12-4169,Middle School,122.50,,15,0,21,46, 5:36,,11,0,25,37, 5:22
76,76,,0.00,18.03,104.0,Middle School,76.0,05:46:56,3,,11,0,19,37, 5:46,CA,35.0,,12-4605,Middle School,122.03,,15,0,21,33, 5:45,,13,0,23,34, 5:45
77,77,,0.00,8.75,111.0,Middle School,77.0,05:52:57,3,,9,0,21,28, 5:48,AL,3.0,,12-1354,Middle School,119.75,,17,0,19,38, 5:52,,20,0,16,45, 5:45
78,78,,0.00,14.41,105.0,Middle School,78.0,05:48:55,3,,6,0,24,21, 5:48,GA,7.0,GBMS,12-3238,Middle School,119.41,,13,0,23,45, 5:27,,14,0,22,39, 5:47
79,79,,0.00,11.41,108.0,Middle School,79.0,05:54:56,3,,11,0,19,37, 5:46,FL,2.0,,12-0526,Middle School,119.41,,16,0,20,29, 5:51,,14,0,22,42, 5:54
80,80,,0.00,8.00,111.0,Middle School,80.0,05:57:00,3,,11,0,19,38, 5:56,TX,7.0,,12-7259,Middle School,119.00,,16,0,20,36, 5:56,,12,0,24,37, 5:56
81,81,T,-7.00,23.64,102.0,Middle School,81.0,06:09:52,3,T,9,0,21,34, 6:09,CA,36.0,,12-0832,Middle School,118.64,,12,0,24,34, 5:56,,10,0,26,34, 5:55
82,82,,0.00,10.00,107.0,Middle School,82.0,05:27:58,3,,10,1,20,31, 5:06,TX,8.0,,12-5467,Middle School,117.00,,11,0,25,31, 4:57,,16,0,20,45, 5:27
83,83,,0.00,18.50,98.0,Middle School,83.0,04:37:04,3,,10,0,20,35, 4:33,CA,37.0,,12-2842,Middle School,116.50,,16,0,20,46, 4:33,,7,0,29,17, 4:23
84,84,,0.00,9.40,107.0,Middle School,84.0,05:50:02,3,,10,0,20,35, 5:49,HI,1.0,,12-3082,Middle School,116.40,,12,0,24,38, 5:49,,16,0,20,34, 5:49
85,85,,0.00,5.00,111.0,Middle School,85.0,05:19:55,3,,11,0,19,36, 5:19,GA,8.0,Senior Scripters,12-1306,Middle School,116.00,,14,0,22,41, 5:12,,14,0,22,34, 5:09
86,86,,0.00,18.88,96.0,Middle School,86.0,05:31:00,3,,6,0,24,20, 5:31,MN,2.0,,12-1087,Middle School,114.88,,24,1,12,56, 5:29,,9,0,27,20, 5:24
87,87,,0.00,21.28,92.0,Middle School,87.0,05:59:00,3,,9,0,21,21, 5:55,HI,2.0,,12-0475,Middle School,113.28,,14,0,22,32, 5:55,,19,0,17,39, 5:44
88,88,,0.00,14.76,98.0,Middle School,88.0,05:09:59,3,,10,0,20,34, 5:05,CA,38.0,,12-1906,Middle School,112.76,,15,0,21,31, 4:26,,12,0,24,33, 5:07
89,89,,0.00,11.56,101.0,Middle School,89.0,05:51:00,3,,7,0,23,27, 5:36,VA,5.0,,12-4116,Middle School,112.56,,14,0,22,43, 5:50,,12,1,24,31, 5:40
90,90,,0.00,16.52,95.0,Middle School,90.0,05:57:57,3,,10,0,20,21, 5:55,SC,1.0,,12-0055,Middle School,111.52,,20,0,16,53, 5:54,,11,0,25,21, 5:57
91,91,,0.00,13.94,97.0,Middle School,91.0,05:59:39,3,,8,0,22,31, 5:22,CO,2.0,,12-2911,Middle School,110.94,,17,0,19,37, 5:19,,7,0,29,29, 5:58
92,92,,0.00,10.54,100.0,Middle School,92.0,05:16:39,3,,6,0,24,22, 5:03,TX,9.0,,12-3735,Middle School,110.54,,14,0,22,47, 5:13,,11,0,25,31, 5:14
93,93,,0.00,18.19,92.0,Middle School,93.0,05:28:54,3,,8,0,22,29, 5:26,CA,39.0,,12-1162,Middle School,110.19,,11,0,25,36, 5:28,,8,0,28,27, 5:27
94,94,,0.00,9.00,101.0,Middle School,94.0,05:56:03,3,,7,0,23,27, 5:54,CA,40.0,,12-6173,Middle School,110.00,,3,0,33,11, 5:29,,22,0,14,63, 5:55
95,95,,0.00,9.00,101.0,Middle School,95.0,05:50:01,3,,15,0,15,46, 5:48,NJ,2.0,,12-0062,Middle School,110.00,,15,0,21,44, 5:49,,4,0,32,11, 2:19
96,96,,0.00,13.48,95.0,Middle School,96.0,05:33:56,3,,7,0,23,26, 5:23,CA,41.0,,12-2619,Middle School,108.48,,15,1,21,32, 5:26,,16,0,20,37, 5:33
97,97,,0.00,8.00,100.0,Middle School,97.0,05:51:56,3,,11,0,19,37, 5:51,NJ,3.0,,12-5050,Middle School,108.00,,10,0,26,30, 5:48,,9,0,27,33, 5:50
98,98,,0.00,8.93,99.0,Middle School,98.0,02:53:15,3,,5,0,25,14, 2:51,KY,1.0,,12-1017,Middle School,107.93,,12,0,24,28, 2:42,,19,0,17,57, 2:48
99,99,,0.00,15.91,91.0,Middle School,99.0,05:47:02,3,,6,0,24,14, 5:46,TX,10.0,,12-1623,Middle School,106.91,,20,0,16,59, 5:46,,8,0,28,18, 5:46
100,100,,0.00,0.00,106.0,Middle School,100.0,05:27:56,3,,12,0,18,40, 5:22,RI,2.0,,12-7487,Middle School,106.00,,14,0,22,43, 5:02,,12,0,24,23, 5:02
101,101,,0.00,11.71,94.0,Middle School,101.0,05:54:59,3,,8,0,22,27, 5:51,CO,3.0,,12-4875,Middle School,105.71,,12,0,24,28, 5:53,,18,0,18,39, 5:45
102,102,,0.00,5.00,100.0,Middle School,102.0,05:40:00,3,,9,0,21,34, 5:39,CA,42.0,,12-5274,Middle School,105.00,,15,0,21,40, 5:39,,10,0,26,26, 5:39
103,103,,0.00,6.75,98.0,Middle School,103.0,05:55:59,3,,10,0,20,35, 5:47,MI,1.0,,12-5601,Middle School,104.75,,9,0,27,24, 5:55,,13,0,23,39, 5:50
104,104,,0.00,7.75,96.0,Middle School,104.0,05:53:56,3,,13,0,17,43, 5:52,CO,4.0,,12-0033,Middle School,103.75,,13,0,23,23, 5:52,,11,0,25,30, 5:53
105,105,,0.00,14.34,89.0,Middle School,105.0,05:51:59,3,,12,1,18,27, 5:37,VA,6.0,,12-4001,Middle School,103.34,,16,1,20,26, 4:27,,16,0,20,36, 5:09
106,106,,0.00,7.25,96.0,Middle School,106.0,05:50:57,3,,11,0,19,38, 5:50,MN,3.0,,12-6100,Middle School,103.25,,12,0,24,28, 5:48,,10,1,26,30, 5:48
107,107,,0.00,10.17,93.0,Middle School,107.0,05:55:00,3,,11,0,19,33, 4:54,TX,11.0,,12-1599,Middle School,103.17,,14,1,22,20, 5:36,,19,0,17,40, 5:26
108,108,,0.00,9.00,94.0,Middle School,108.0,03:31:55,3,,7,0,23,24, 3:31,MI,2.0,,12-0969,Middle School,103.00,,17,0,19,39, 3:04,,11,0,25,31, 3:28
109,109,,0.00,7.00,96.0,Middle School,109.0,05:45:57,3,,8,0,22,31, 5:39,CA,43.0,,12-5273,Middle School,103.00,,9,0,27,34, 5:43,,9,0,27,31, 5:42
110,110,,0.00,0.00,102.0,Middle School,110.0,04:35:59,3,,7,0,23,16, 4:21,GA,9.0,,12-0039,Middle School,102.00,,24,0,12,63, 4:35,,10,0,26,23, 4:30
111,111,,0.00,19.87,82.0,Middle School,111.0,05:53:55,3,,11,0,19,31, 5:53,WA,1.0,,12-0483,Middle School,101.87,,7,0,29,11, 5:52,,19,0,17,40, 5:52
112,112,,0.00,9.58,92.0,Middle School,112.0,05:36:56,3,,13,0,17,38, 5:07,CO,5.0,,12-1720,Middle School,101.58,,7,0,29,22, 5:06,,12,0,24,32, 5:36
113,113,T,-3.00,10.37,94.0,Middle School,113.0,06:00:58,3,,10,0,20,34, 5:44,AL,4.0,,12-2808,Middle School,101.37,,14,0,22,42, 5:39,,8,0,28,18, 5:57
114,114,,0.00,5.14,96.0,Middle School,114.0,05:53:00,3,,8,0,22,31, 5:26,CO,6.0,,12-3178,Middle School,101.14,,13,0,23,40, 5:40,,8,0,28,25, 5:51
115,115,,0.00,8.00,93.0,Middle School,115.0,05:59:52,3,,7,0,23,29, 5:46,CA,44.0,,12-6443,Middle School,101.00,,13,0,23,33, 5:55,,8,0,28,31, 5:55
116,116,,0.00,16.72,84.0,Middle School,116.0,05:55:55,3,,9,0,21,31, 5:55,CAN,2.0,,12-4770,Middle School,100.72,,8,0,28,21, 5:31,,12,0,24,32, 5:55
117,117,,0.00,13.77,86.0,Middle School,117.0,04:20:04,3,,8,0,22,24, 4:02,CA,45.0,,12-1569,Middle School,99.77,,10,0,26,36, 4:20,,10,0,26,26, 4:12
118,118,,0.00,17.30,82.0,Middle School,118.0,05:55:55,3,,10,0,20,31, 5:55,GA,10.0,,12-0874,Middle School,99.30,,12,0,24,22, 5:51,,11,0,25,29, 5:49
119,119,,0.00,0.00,99.0,Middle School,119.0,05:24:57,3,,10,0,20,36, 5:21,RI,3.0,,12-1772,Middle School,99.00,,13,0,23,41, 5:07,,10,0,26,22, 5:05
120,120,,0.00,8.00,91.0,Middle School,120.0,05:31:59,3,,11,0,19,38, 5:13,SC,2.0,,12-6200,Middle School,99.00,,11,0,25,30, 5:31,,10,0,26,23, 5:26
121,121,,0.00,4.75,94.0,Middle School,121.0,05:35:38,3,,7,0,23,27, 5:34,LA,1.0,,12-1667,Middle School,98.75,,16,1,20,30, 5:19,,11,0,25,37, 5:25
122,122,,0.00,8.75,90.0,Middle School,122.0,05:45:56,3,,9,0,21,22, 5:04,CA,46.0,,12-6853,Middle School,98.75,,22,1,14,58, 5:42,,8,0,28,10, 4:59
123,123,,0.00,17.61,80.0,Middle School,123.0,05:33:00,3,,7,0,23,20, 3:48,CA,47.0,,12-2043,Middle School,97.61,,16,0,20,51, 5:33,,6,0,30,9, 5:31
